;Kingdom;Phylum;Class;Order;Family;Genus
ASV_88;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_89;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum
ASV_90;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_91;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;NA;NA
ASV_92;Bacteria;Myxococcota;bacteriap25;NA;NA;NA
ASV_93;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_94;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_95;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_96;Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta
ASV_97;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira
ASV_98;Bacteria;Chloroflexi;TK10;NA;NA;NA
ASV_99;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902
ASV_100;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_101;Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;NA
ASV_102;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_103;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_104;Bacteria;Chloroflexi;TK17;NA;NA;NA
ASV_105;Bacteria;Actinobacteriota;Actinobacteria;PeM15;NA;NA
ASV_106;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
ASV_107;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;Puniceispirillales Incertae Sedis;Constrictibacter
ASV_108;Bacteria;Chloroflexi;TK30;NA;NA;NA
ASV_109;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_110;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_111;Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA
ASV_112;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_113;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Endozoicomonas
ASV_114;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;NA
ASV_115;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_116;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;NA;NA
ASV_117;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_119;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_120;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA
ASV_121;Bacteria;Proteobacteria;Alphaproteobacteria;AT-s3-44;NA;NA
ASV_122;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_123;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;EF100-94H03;NA
ASV_124;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_125;Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;NA;NA
ASV_126;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
ASV_127;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum
ASV_128;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;FS142-36B-02
ASV_129;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_130;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_131;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
ASV_132;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902
ASV_133;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA
ASV_134;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_135;Bacteria;Acidobacteriota;Subgroup 21;NA;NA;NA
ASV_136;Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;NA
ASV_138;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_139;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_140;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_141;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_142;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parasediminibacterium
ASV_143;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_144;Bacteria;SAR324 clade(Marine group B);NA;NA;NA;NA
ASV_145;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_146;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_147;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_148;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;NA
ASV_149;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum
ASV_150;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus
ASV_151;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA
ASV_152;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;NA
ASV_153;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_154;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium
ASV_155;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_156;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA
ASV_157;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_158;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307
ASV_159;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_160;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;NA;NA;NA
